CustomerID,CheckInDate,CheckOutDate,Duration
C4972,2025-09-10,2025-09-16,6
C4125,2025-09-11,2025-09-17,6
C2082,2023-10-15,2023-10-22,7
C618,2022-04-08,2022-04-12,4
C2203,2020-10-26,2020-10-28,2
C2275,2024-09-13,2024-09-19,6
C437,2022-01-18,2022-01-20,2
C4174,2020-02-21,2020-02-25,4
C3722,2022-07-11,2022-07-12,1
C3823,2020-04-20,2020-04-27,7
C1927,2023-07-05,2023-07-10,5
C4097,2021-03-17,2021-03-20,3
C2594,2021-06-24,2021-06-30,6
C4619,2023-12-19,2023-12-26,7
C445,2022-12-22,2022-12-27,5
C594,2021-02-12,2021-02-13,1
C3734,2024-09-04,2024-09-11,7
C1632,2025-10-16,2025-10-19,3
C1157,2024-02-10,2024-02-11,1
C1619,2021-07-09,2021-07-14,5
C4815,2020-04-10,2020-04-14,4
C1414,2023-12-18,2023-12-23,5
C3504,2023-11-16,2023-11-17,1
C698,2023-05-02,2023-05-07,5
C4876,2023-03-20,2023-03-21,1
C434,2022-08-14,2022-08-21,7
C3721,2024-11-29,2024-12-01,2
C4157,2022-12-26,2022-12-28,2
C3045,2022-07-19,2022-07-24,5
C2377,2024-11-17,2024-11-23,6
C5051,2022-09-17,2022-09-23,6
C791,2023-09-26,2023-10-01,5
C4373,2022-01-08,2022-01-12,4
C3767,2021-09-15,2021-09-22,7
C1419,2023-10-24,2023-10-31,7
C5090,2023-02-17,2023-02-22,5
C191,2023-10-22,2023-10-23,1
C4838,2025-01-02,2025-01-08,6
C2853,2021-07-17,2021-07-24,7
C675,2025-01-08,2025-01-13,5
C4043,2022-08-22,2022-08-25,3
C3262,2025-01-18,2025-01-22,4
C5002,2023-05-27,2023-05-28,1
C1869,2021-07-30,2021-07-31,1
C2914,2023-12-26,2023-12-30,4
C226,2021-11-30,2021-12-04,4
C4937,2022-11-15,2022-11-21,6
C1414,2025-05-21,2025-05-23,2
C2509,2024-02-27,2024-03-02,4
C2923,2020-10-13,2020-10-17,4
C1908,2025-10-25,2025-10-29,4
C1826,2024-06-20,2024-06-27,7
C1645,2021-10-30,2021-11-04,5
C844,2020-01-06,2020-01-12,6
C1379,2022-08-15,2022-08-19,4
C3937,2023-11-29,2023-12-06,7
C3296,2021-10-25,2021-11-01,7
C451,2023-10-20,2023-10-27,7
C1755,2024-06-12,2024-06-13,1
C2618,2020-12-17,2020-12-18,1
C3208,2022-04-01,2022-04-04,3
C4105,2022-11-18,2022-11-20,2
C3729,2020-09-30,2020-10-02,2
C4862,2022-11-06,2022-11-08,2
C323,2021-11-29,2021-12-06,7
C841,2025-04-20,2025-04-27,7
C4791,2022-10-18,2022-10-22,4
C1060,2023-11-10,2023-11-15,5
C3786,2025-02-28,2025-03-07,7
C3200,2024-06-10,2024-06-11,1
C3530,2021-08-10,2021-08-17,7
C4916,2021-07-05,2021-07-06,1
C1694,2025-05-20,2025-05-22,2
C753,2022-02-22,2022-02-27,5
C2230,2024-03-13,2024-03-17,4
C3821,2023-01-03,2023-01-04,1
C3140,2024-11-12,2024-11-16,4
C4950,2024-07-31,2024-08-02,2
C4009,2022-12-01,2022-12-05,4
C2903,2024-06-27,2024-07-02,5
C990,2020-05-03,2020-05-04,1
C1739,2025-11-09,2025-11-14,5
C901,2025-03-28,2025-04-03,6
C4890,2020-08-11,2020-08-18,7
C4440,2022-11-07,2022-11-11,4
C3041,2023-03-27,2023-03-31,4
C4844,2024-03-15,2024-03-17,2
C4001,2021-01-02,2021-01-04,2
C4884,2022-10-27,2022-10-31,4
C514,2025-02-21,2025-02-24,3
C4519,2025-03-06,2025-03-13,7
C3714,2020-07-22,2020-07-26,4
C2885,2024-03-11,2024-03-12,1
C4461,2020-02-28,2020-03-01,2
C2850,2021-12-11,2021-12-17,6
C2594,2021-02-02,2021-02-03,1
C3179,2022-04-22,2022-04-26,4
C1292,2022-10-22,2022-10-28,6
C3000,2022-05-14,2022-05-17,3
C954,2020-11-14,2020-11-19,5
C2717,2022-10-12,2022-10-13,1
C1580,2024-11-11,2024-11-18,7
C3859,2023-12-22,2023-12-26,4
C3592,2020-06-30,2020-07-04,4
C4407,2025-06-07,2025-06-11,4
C3876,2022-02-22,2022-02-28,6
C1837,2024-02-18,2024-02-20,2
C356,2022-06-02,2022-06-07,5
C4762,2022-06-05,2022-06-07,2
C2551,2022-03-18,2022-03-20,2
C4594,2021-09-06,2021-09-12,6
C401,2025-01-07,2025-01-09,2
C1367,2023-07-28,2023-07-30,2
C895,2020-09-19,2020-09-20,1
C4783,2023-01-07,2023-01-08,1
C777,2024-01-27,2024-02-02,6
C4962,2023-07-11,2023-07-18,7
C4401,2023-12-14,2023-12-18,4
C3989,2021-09-19,2021-09-26,7
C2345,2023-03-30,2023-03-31,1
C853,2024-03-26,2024-03-28,2
C4874,2022-09-25,2022-10-01,6
C2650,2025-07-11,2025-07-16,5
C2894,2023-05-20,2023-05-27,7
C3869,2020-03-05,2020-03-06,1
C5037,2020-03-15,2020-03-18,3
C3762,2021-08-31,2021-09-02,2
C4017,2025-08-17,2025-08-18,1
C390,2021-01-06,2021-01-08,2
C2837,2020-11-25,2020-11-28,3
C1121,2022-11-15,2022-11-16,1
C2076,2022-11-14,2022-11-19,5
C1368,2020-03-18,2020-03-24,6
C3393,2025-03-27,2025-04-01,5
C4250,2023-05-27,2023-06-01,5
C298,2020-11-19,2020-11-21,2
C3736,2022-05-16,2022-05-18,2
C3208,2022-09-07,2022-09-11,4
C1517,2020-06-22,2020-06-27,5
C2244,2024-09-22,2024-09-29,7
C351,2023-09-01,2023-09-04,3
C711,2023-01-19,2023-01-20,1
C1129,2025-06-04,2025-06-05,1
C930,2022-06-16,2022-06-19,3
C3438,2020-02-07,2020-02-14,7
C809,2021-10-18,2021-10-19,1
C4932,2021-04-30,2021-05-01,1
C1383,2025-08-24,2025-08-27,3
C4287,2021-11-15,2021-11-17,2
C4315,2020-03-06,2020-03-08,2
C1382,2023-05-06,2023-05-08,2
C2471,2023-08-27,2023-08-28,1
C1015,2021-09-14,2021-09-21,7
C4523,2025-09-02,2025-09-06,4
C569,2020-05-23,2020-05-30,7
C2724,2024-07-08,2024-07-14,6
C3561,2025-09-09,2025-09-16,7
C1348,2020-05-14,2020-05-19,5
C3171,2023-01-07,2023-01-08,1
C3227,2021-12-21,2021-12-27,6
C2996,2022-10-04,2022-10-08,4
C527,2020-04-13,2020-04-18,5
C4816,2021-04-09,2021-04-12,3
C912,2022-10-31,2022-11-02,2
C3904,2023-09-29,2023-10-03,4
C4539,2020-04-15,2020-04-17,2
C4322,2020-01-18,2020-01-21,3
C2096,2022-06-13,2022-06-15,2
C692,2022-09-23,2022-09-28,5
C1675,2020-01-11,2020-01-18,7
C4099,2021-06-17,2021-06-19,2
C856,2024-05-04,2024-05-09,5
C3644,2023-03-03,2023-03-06,3
C2130,2022-07-11,2022-07-17,6
C4435,2021-07-15,2021-07-19,4
C4582,2025-08-14,2025-08-20,6
C3954,2020-08-09,2020-08-11,2
C2773,2022-04-17,2022-04-21,4
C4661,2022-10-22,2022-10-25,3
