BookingID,CustomerID,RoomTypeID,BranchID,CheckInDate,CheckOutDate,Duration,Revenue,BookingStatus,CancellationReason,LeadTime,PaymentMethod,DiscountApplied,BookingChannel,Purpose,Stay_Type
BK1940,C1202,RT3,B2,2020-01-01,2020-01-08,7,52500,Cancelled,Weather,2,Credit Card,15,Call Center,,Other
BK4805,C4739,RT1,B3,2020-01-01,2020-01-04,3,7500,Cancelled,Price,38,UPI,5,Website,Conference,Medium Stay
BK5572,C1546,RT2,B5,2020-01-01,2020-01-02,1,4000,No-show,,18,Credit Card,5,Website,Conference,Medium Stay
BK20090,C283,RT4,B5,2020-01-01,2020-01-07,6,33000,Cancelled,Weather,38,Credit Card,15,Call Center,Holiday,Long Stay
BK23239,C1666,RT3,B4,2020-01-01,2020-01-02,1,7500,Cancelled,Change of plans,7,UPI,15,Travel Agent,Holiday,Long Stay
BK28328,C1603,RT3,B4,2020-01-01,2020-01-03,2,15000,Cancelled,Price,41,Credit Card,5,Call Center,Conference,Medium Stay
BK1520,C2966,RT1,B2,2020-01-02,2020-01-03,1,2500,Checked-in,,37,Credit Card,5,Travel Agent,,Other
BK5342,C640,RT4,B3,2020-01-02,2020-01-05,3,16500,Checked-in,,37,Corporate Account,5,Travel Agent,Conference,Medium Stay
BK5649,C1357,RT3,B5,2020-01-02,2020-01-07,5,37500,No-show,,33,UPI,0,Mobile App,Vacation,Iong Stay
BK16742,C4650,RT3,B3,2020-01-02,2020-01-09,7,52500,Checked-in,,39,Cash,10,Mobile App,Vacation,Iong Stay
BK18337,C230,RT4,B3,2020-01-02,2020-01-07,5,27500,Cancelled,Price,44,Cash,5,Mobile App,Holiday,Long Stay
BK23686,C4822,RT3,B5,2020-01-02,2020-01-08,6,45000,Checked-in,,56,UPI,15,Travel Agent,Conference,Medium Stay
BK24208,C3954,RT1,B2,2020-01-02,2020-01-06,4,10000,Cancelled,Other,0,Corporate Account,5,Mobile App,Vacation,Iong Stay
BK26300,C3030,RT2,B2,2020-01-02,2020-01-06,4,16000,Cancelled,Other,17,Cash,20,Call Center,Vacation,Iong Stay
BK26453,C2903,RT2,B1,2020-01-02,2020-01-04,2,8000,Cancelled,Weather,26,Cash,15,Travel Agent,Holiday,Long Stay
BK27109,C1414,RT3,B1,2020-01-02,2020-01-07,5,37500,No-show,,51,Cash,0,Call Center,Business,Short Stay
BK28450,C1083,RT4,B5,2020-01-02,2020-01-07,5,27500,Checked-in,,37,UPI,20,Travel Agent,Business,Short Stay
BK1307,C2300,RT3,B5,2020-01-03,2020-01-08,5,37500,Checked-in,,16,Corporate Account,0,Mobile App,Conference,Medium Stay
BK1677,C860,RT4,B2,2020-01-03,2020-01-07,4,22000,Cancelled,Change of plans,15,Credit Card,10,Website,Holiday,Long Stay
BK2106,C1234,RT4,B4,2020-01-03,2020-01-08,5,27500,No-show,,57,Credit Card,0,Mobile App,,Other
BK3908,C4732,RT3,B2,2020-01-03,2020-01-09,6,45000,Checked-in,,15,Credit Card,15,Travel Agent,,Other
BK4848,C4548,RT1,B5,2020-01-03,2020-01-09,6,15000,Checked-in,,19,Credit Card,5,Call Center,Vacation,Iong Stay
BK8053,C4355,RT4,B2,2020-01-03,2020-01-07,4,22000,Checked-in,,0,Credit Card,5,Travel Agent,,Other
BK8282,C1973,RT1,B5,2020-01-03,2020-01-07,4,10000,Cancelled,Weather,16,Credit Card,10,Mobile App,,Other
BK10203,C4508,RT3,B1,2020-01-03,2020-01-09,6,45000,No-show,,17,UPI,20,Website,Business,Short Stay
BK11768,C2501,RT1,B3,2020-01-03,2020-01-05,2,5000,Cancelled,Price,9,Credit Card,20,Travel Agent,Conference,Medium Stay
BK13185,C4410,RT2,B3,2020-01-03,2020-01-09,6,24000,No-show,,57,UPI,15,Mobile App,Vacation,Iong Stay
